Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Community America Credit,2004,4,9.7,2.11,123.86,1.41,79.28,2.11,44.22,No
Regional Valley Bancorp,2004,4,11.48,1.36,114.35,2.94,61.49,4.22,54.37,No
Regional Plains Credit,2004,4,12.18,2.48,145.3,1.5,58.8,2.62,50.32,No
First Valley Credit,2004,4,8.55,2.02,136.94,2.08,67.07,2.69,58.99,No
First State Bancorp,2004,4,10.35,3.85,139.33,2.13,69.88,3.52,60.95,No
Community America Credit,2004,4,10.39,1.47,106.78,2.2,76.67,2.33,45.45,No
First State Bank,2004,4,9.31,1.1,125.51,1.63,66.99,2.19,51.87,No
Regional Coast Trust,2004,4,11.91,1.27,118.11,2.09,61.85,2.26,68.06,No
First State Credit,2004,4,10.73,1.9,130.11,3.76,57.56,3.22,42.92,No
First Mountain Bancorp,2004,4,10.92,1.28,108.74,1.98,55.25,3.47,50.55,No
National Mountain Bank,2004,4,12.84,1.53,116.33,2.14,58.36,2.82,41.4,No
Regional Coast Trust,2004,4,10.22,0.0,133.39,1.66,81.63,3.53,37.14,No
Community Valley Financial,2004,4,9.82,4.56,137.51,1.98,72.57,2.68,54.32,No
Metropolitan Valley Bank,2004,4,4.57,0.9,56.78,-0.98,83.03,0.97,69.25,Yes
Metropolitan Plains Trust,2004,4,10.44,2.85,122.47,2.0,78.79,3.24,64.47,No
Metropolitan State Credit,2004,4,11.08,1.57,106.99,1.79,79.65,3.65,59.6,No
Metropolitan Coast Financial,2004,4,8.41,3.08,101.61,2.45,66.32,3.35,36.68,No
Regional America Bancorp,2004,4,8.34,2.61,63.32,-2.0,73.69,1.05,98.06,Yes
National America Credit,2004,4,17.33,2.1,131.17,2.12,74.99,2.83,51.95,No
Central State Credit,2004,4,13.07,1.42,119.23,1.97,78.26,2.47,49.48,No
Community State Financial,2004,4,15.82,3.16,133.49,2.01,73.21,3.5,65.6,No
Central Plains Credit,2004,4,2.1,3.05,83.09,-1.28,89.92,0.37,74.45,Yes
First River Financial,2004,4,9.2,4.09,119.78,1.97,75.88,3.48,59.46,No
First Coast Financial,2004,4,14.15,1.37,117.02,2.38,64.73,3.0,53.99,No
Central America Financial,2005,1,12.36,0.0,114.29,1.27,90.61,2.89,84.12,
Community Coast Bancorp,2005,1,14.71,3.35,134.44,2.15,70.32,3.44,57.32,No
Metropolitan Coast Financial,2005,1,11.38,2.4,119.65,1.57,82.9,3.03,70.49,No
Central America Financial,2005,1,2.75,5.33,70.33,0.14,105.99,1.16,68.73,Yes
United River Bank,2005,1,3.69,7.97,56.36,-1.53,107.51,0.51,96.05,Yes
Metropolitan River Credit,2005,1,14.45,0.43,110.68,0.86,62.17,3.38,45.86,No
National Valley Credit,2005,1,12.92,0.48,127.98,1.72,70.12,2.95,37.28,No
Regional Plains Bancorp,2005,1,9.69,2.97,123.99,2.53,73.25,3.07,32.74,No
Metropolitan America Bank,2005,1,5.46,6.92,89.53,-0.31,123.04,1.3,72.89,Yes
First State Financial,2005,1,12.23,2.24,110.61,1.81,67.94,3.8,29.19,No
First Mountain Trust,2005,1,14.41,1.06,106.28,2.59,77.32,3.63,58.01,No
United State Financial,2005,1,16.12,2.56,118.44,2.17,82.43,2.61,43.48,No
First State Credit,2005,1,11.38,0.0,121.38,1.06,70.53,3.43,45.23,No
United Coast Bancorp,2005,1,9.35,2.62,81.91,-0.32,74.26,2.36,79.36,Yes
First Plains Credit,2005,1,4.25,2.78,67.8,-1.13,101.54,0.85,86.33,Yes
First State Bancorp,2005,1,11.22,0.07,118.51,0.82,73.54,2.51,51.63,No
First River Credit,2005,1,14.63,1.05,130.61,1.78,87.53,2.82,41.6,No
Metropolitan Mountain Credit,2005,1,13.37,1.56,111.59,1.76,69.55,3.67,30.66,No
Regional America Bank,2005,1,12.05,2.62,121.93,2.65,69.26,2.91,55.92,No
Regional Mountain Bancorp,2005,1,12.2,1.61,125.16,1.67,63.89,2.74,63.53,No
Metropolitan Coast Trust,2005,1,5.56,2.4,120.34,1.16,73.1,3.24,55.9,No
National Mountain Credit,2005,1,0.7,11.1,62.62,-0.31,111.12,0.56,86.6,Yes
Metropolitan Valley Trust,2005,1,11.23,0.0,131.68,1.61,61.46,2.8,52.72,No
Regional Mountain Bank,2005,1,11.89,2.55,106.61,1.63,68.84,3.95,48.86,No
First River Credit,2005,1,8.17,7.12,65.16,-1.25,97.47,1.3,93.75,Yes
Central Valley Financial,2005,1,12.72,3.19,110.35,1.79,62.76,3.16,46.41,No
Central River Credit,2005,1,13.46,1.07,120.43,2.34,49.35,4.06,47.17,No
Metropolitan River Trust,2005,1,7.95,2.16,120.33,1.96,79.91,3.37,52.98,No
National Plains Bank,2005,1,6.9,6.69,87.75,-2.48,102.09,1.03,88.13,Yes
Central Coast Financial,2005,1,10.31,0.26,121.57,2.14,84.9,2.36,61.55,No
Community State Credit,2005,1,10.73,5.87,57.09,-1.41,100.21,1.28,74.09,Yes
Community State Bank,2005,1,9.11,3.66,52.61,0.11,65.88,0.9,111.18,Yes
Metropolitan Plains Financial,2005,1,5.98,3.64,69.43,-1.05,102.41,1.33,69.61,Yes
Metropolitan Valley Credit,2005,1,15.38,2.25,127.27,1.69,82.86,2.87,52.78,No
United America Credit,2005,1,4.13,4.01,76.88,-1.44,87.19,0.68,86.99,Yes
United Valley Bancorp,2005,1,4.74,6.65,70.15,-2.92,77.93,1.17,72.63,Yes
Metropolitan River Credit,2005,1,14.11,2.97,127.19,2.91,69.17,3.32,44.16,No
Community River Trust,2005,1,16.9,3.98,120.12,2.19,83.59,2.93,43.43,No
United River Credit,2005,1,7.75,7.24,71.83,-1.83,74.23,1.12,89.05,Yes
Central State Bank,2005,1,11.55,3.44,112.96,1.47,69.33,2.96,57.7,No
Community State Bancorp,2005,1,4.45,11.1,89.67,-1.04,118.75,0.47,90.75,Yes
National Coast Bank,2005,1,14.09,2.86,119.84,0.52,63.58,2.69,40.22,No
Community Mountain Bancorp,2005,1,12.24,1.58,111.75,1.47,62.84,3.56,43.39,No
Community Plains Bank,2005,1,10.97,1.54,123.39,2.23,39.55,3.51,64.36,No
First Mountain Bancorp,2005,1,9.9,1.03,115.5,1.62,72.24,2.03,38.82,No
Regional State Financial,2005,1,9.08,4.22,82.43,-0.64,72.86,1.32,78.82,Yes
Metropolitan America Trust,2005,1,5.09,7.73,74.75,-0.29,117.67,1.2,66.24,Yes
First Coast Trust,2005,1,11.05,4.94,127.24,3.18,83.95,3.12,53.01,No
Metropolitan America Trust,2005,1,11.93,0.26,120.18,2.61,64.0,3.21,58.52,No
First Valley Trust,2005,1,10.18,1.55,109.82,1.59,57.12,2.55,64.19,No
United Plains Trust,2005,2,4.17,7.38,64.97,0.18,119.67,1.43,83.06,Yes
United River Bancorp,2005,2,11.54,0.81,139.44,1.62,76.64,3.53,44.45,No
First Plains Financial,2005,2,14.08,2.76,137.28,1.77,57.14,2.75,52.09,No
Metropolitan River Credit,2005,2,6.12,5.82,50.91,-0.53,129.59,1.23,86.09,Yes
Central America Credit,2005,2,13.14,2.4,129.32,2.2,66.87,2.6,47.51,No
First Valley Financial,2005,2,12.63,1.68,123.14,2.22,78.33,3.64,50.78,No
Central Mountain Bank,2005,2,3.38,5.96,70.44,-2.84,120.83,1.07,83.81,Yes
Metropolitan Coast Bank,2005,2,14.73,1.37,125.74,1.95,68.16,2.61,66.66,No
United River Bancorp,2005,2,5.25,9.1,51.25,0.18,115.78,1.05,77.73,Yes
Community River Credit,2005,2,12.8,4.29,102.37,2.39,60.88,2.99,47.52,No
National River Bancorp,2005,2,11.14,1.99,108.66,2.51,52.06,3.27,46.73,No
United River Financial,2005,2,9.66,2.2,104.43,2.02,55.77,3.23,40.76,No
National Plains Trust,2005,2,11.1,2.29,112.27,1.97,54.86,3.32,67.65,No
First River Trust,2005,2,17.58,2.09,127.88,1.11,85.03,3.39,45.16,No
Metropolitan Coast Credit,2005,2,14.47,1.75,115.42,2.24,59.37,3.51,39.44,No
United Valley Bancorp,2005,2,9.9,1.09,127.6,1.69,56.52,2.7,49.68,No
Regional Coast Credit,2005,2,9.64,0.85,141.11,1.57,66.77,2.82,45.79,No
Regional Coast Credit,2005,2,13.24,2.95,116.94,1.38,82.74,2.95,67.3,No
Community State Credit,2005,2,7.51,2.2,139.19,1.82,67.75,3.15,44.41,No
National Mountain Bancorp,2005,2,11.38,1.66,113.73,2.61,74.61,3.13,58.09,No
First River Bank,2005,2,11.47,1.23,113.97,2.0,59.41,2.75,44.84,No
First Mountain Credit,2005,2,10.25,0.0,68.2,0.73,101.83,1.38,81.0,Yes
First State Bancorp,2005,2,4.67,0.27,72.05,-1.78,87.99,0.75,97.45,Yes
Metropolitan State Credit,2005,2,16.81,2.22,115.35,1.41,74.69,3.89,47.53,No
Community Valley Credit,2005,2,7.24,2.67,129.85,1.21,71.76,3.23,49.27,No
United America Trust,2005,2,10.42,3.02,115.97,1.26,49.51,3.63,56.17,No
Regional Valley Bank,2005,2,12.18,1.56,114.71,1.46,65.69,1.94,42.64,No
Central River Financial,2005,2,5.38,8.83,69.6,-0.21,120.24,1.53,84.71,Yes
Community America Trust,2005,2,12.02,1.02,127.4,2.84,73.42,3.96,34.74,No
Metropolitan Mountain Bancorp,2005,2,9.69,2.86,122.64,2.66,69.85,2.57,47.86,No
Regional Mountain Bank,2005,2,8.93,0.87,129.72,2.44,73.63,2.14,46.42,No
Regional Plains Credit,2005,2,9.55,3.18,114.16,1.46,70.3,2.68,64.84,No
Metropolitan Coast Trust,2005,2,10.53,0.6,98.47,1.98,64.38,2.29,61.89,No
Community State Financial,2005,2,13.33,1.97,133.64,2.33,61.77,2.48,58.18,No
United Coast Bank,2005,2,6.79,7.51,61.54,-0.39,88.67,0.95,94.47,Yes
National River Bank,2005,2,4.68,2.28,59.47,-0.01,103.82,0.94,74.91,Yes
National River Credit,2005,2,6.97,4.45,73.06,-1.73,86.54,0.68,76.25,Yes
Central Mountain Credit,2005,2,11.9,2.24,83.12,1.6,66.08,3.75,39.2,No
Regional Valley Trust,2005,2,12.33,3.5,106.87,2.2,61.98,2.75,41.97,No
Community State Financial,2005,2,10.54,4.72,128.44,2.55,74.92,2.2,53.95,No
First Valley Trust,2005,2,14.15,1.15,129.65,2.35,88.52,2.79,39.02,No
First River Trust,2005,2,11.28,3.44,101.72,0.97,70.89,2.78,50.08,No
Regional America Credit,2005,2,7.89,5.34,51.27,1.04,85.04,0.47,91.04,Yes
Metropolitan America Financial,2005,2,5.23,6.81,74.83,0.08,95.0,1.76,58.64,Yes
Central Coast Trust,2005,2,13.52,1.16,133.72,2.07,63.27,3.33,58.93,No
Metropolitan State Credit,2005,2,13.28,0.97,115.16,2.0,69.59,3.37,29.85,No
National State Financial,2005,2,12.67,1.71,111.61,1.63,67.85,1.2,42.99,No
Metropolitan Mountain Trust,2005,2,10.25,2.53,111.94,1.89,85.42,3.5,59.02,No
United Valley Financial,2005,2,11.0,2.54,117.66,1.9,74.1,2.7,64.93,No
Regional Coast Bancorp,2005,2,5.68,8.86,84.56,0.03,78.87,1.22,88.51,Yes
Regional Coast Bancorp,2005,3,13.78,0.89,113.43,2.5,62.38,2.85,65.76,No
National Plains Bancorp,2005,3,11.9,1.27,111.22,2.17,56.67,2.88,53.33,No
First River Financial,2005,3,14.6,2.67,112.86,2.59,67.0,2.38,48.28,No
Community America Financial,2005,3,14.88,2.17,120.13,2.82,55.69,2.36,33.84,No
Regional Coast Bank,2005,3,12.75,2.17,135.43,2.12,65.96,3.0,51.18,No
First Coast Trust,2005,3,8.66,4.71,125.2,2.11,76.15,3.35,48.59,No
Community State Trust,2005,3,10.74,2.6,123.86,1.6,84.19,3.15,57.3,No
Regional Valley Credit,2005,3,14.78,2.02,123.17,2.41,62.75,3.03,51.26,No
Central Plains Bank,2005,3,10.09,4.32,105.93,1.35,83.14,3.36,39.74,No
Community America Bancorp,2005,3,13.21,3.47,119.7,3.3,52.76,3.35,61.67,No
United Valley Bancorp,2005,3,13.78,1.8,117.1,2.22,78.16,3.3,60.4,No
Regional Valley Bank,2005,3,9.96,1.77,110.6,1.81,80.15,3.05,76.07,No
First River Financial,2005,3,6.39,7.18,71.06,-1.64,99.13,1.56,81.14,Yes
Central Valley Credit,2005,3,10.41,1.07,115.5,2.04,81.94,2.33,46.8,No
National State Trust,2005,3,12.29,0.17,111.66,1.66,62.04,3.1,48.39,No
First Valley Bancorp,2005,3,10.89,2.43,137.23,2.82,50.77,3.29,48.22,No
First Coast Bancorp,2005,3,12.31,1.6,121.18,2.08,64.21,2.55,45.51,No
Metropolitan State Credit,2005,3,12.47,2.6,128.53,1.75,72.84,3.48,61.66,No
Metropolitan Plains Bancorp,2005,3,11.88,1.78,121.91,1.43,68.06,3.37,56.42,No
Community Valley Bank,2005,3,9.19,3.44,83.51,2.2,78.83,2.36,54.57,
Metropolitan Plains Financial,2005,3,11.87,1.55,126.58,1.8,85.93,3.73,41.08,No
Regional America Trust,2005,3,12.14,1.35,116.73,3.0,66.92,3.18,55.41,No
Community Plains Credit,2005,3,4.0,4.43,57.94,-1.89,57.25,1.27,100.54,Yes
Regional River Bancorp,2005,3,12.3,0.58,113.57,1.77,59.82,3.43,58.1,No
United Plains Bank,2005,3,3.69,9.18,85.27,0.9,142.98,0.55,108.24,Yes
Community River Financial,2005,3,11.29,1.41,123.27,1.71,73.99,2.34,47.61,No
National Plains Bank,2005,3,14.57,1.94,121.42,2.24,81.71,2.17,55.85,No
Regional America Trust,2005,3,11.46,2.17,130.6,1.4,59.87,2.03,44.51,No
Central State Bancorp,2005,3,14.66,1.88,106.6,1.76,55.12,2.44,53.89,No
Community Mountain Trust,2005,3,3.65,10.34,69.29,-0.91,95.82,1.39,87.83,Yes
National America Credit,2005,3,12.67,2.56,117.88,2.27,66.62,3.0,47.25,No
First Valley Bank,2005,3,5.09,4.93,74.68,0.31,117.57,0.37,92.89,Yes
First State Financial,2005,3,5.36,8.8,60.94,-0.86,104.71,0.26,86.08,Yes
Regional Valley Financial,2005,3,14.69,1.83,133.6,1.91,78.5,1.89,74.19,No
First State Trust,2005,3,14.99,1.72,100.28,2.14,55.56,3.22,54.12,No
National Coast Bancorp,2005,3,10.12,3.12,128.06,2.49,70.09,2.29,59.78,No
United Valley Bancorp,2005,3,11.46,0.61,133.52,3.05,69.59,4.08,50.91,No
National Coast Credit,2005,3,5.24,5.11,86.37,-1.78,111.03,0.72,75.4,Yes
Community Mountain Credit,2005,3,14.06,1.62,115.95,2.57,85.97,3.32,43.45,No
Metropolitan America Financial,2005,3,10.98,2.08,123.21,1.51,77.23,3.04,32.84,No
Central River Financial,2005,3,10.14,1.5,119.27,2.94,72.38,2.58,52.21,No
National State Bank,2005,3,11.3,2.32,125.81,2.6,69.76,3.82,59.08,No
United America Bank,2005,3,10.59,4.21,123.27,1.58,86.53,4.04,49.67,No
Metropolitan Valley Bank,2005,3,4.99,6.48,77.15,0.28,108.56,1.05,94.98,Yes
Central Plains Bank,2005,3,11.37,3.03,117.12,2.22,68.86,2.97,46.23,No
Regional State Bancorp,2005,3,14.69,1.27,112.6,3.06,79.78,1.81,44.35,No
Community Valley Financial,2005,3,8.38,1.05,88.61,1.93,58.58,3.03,33.75,No
Central America Bancorp,2005,3,12.17,1.59,135.02,2.71,77.85,2.84,69.85,No
First Valley Financial,2005,3,8.89,0.6,119.16,3.13,67.98,2.91,35.58,No
United Coast Credit,2005,3,13.89,2.95,127.89,1.69,62.93,2.35,50.84,No
United State Bank,2005,4,3.84,3.47,65.76,-1.49,91.93,1.23,80.79,Yes
National Coast Trust,2005,4,11.42,2.18,110.08,2.05,71.51,2.25,59.96,No
Metropolitan Plains Bancorp,2005,4,10.24,2.09,131.64,2.46,70.34,2.82,59.48,No
Regional Coast Bank,2005,4,13.35,1.38,112.05,0.96,71.54,2.96,61.36,No
Regional Mountain Bancorp,2005,4,12.72,3.33,113.03,2.57,64.71,3.39,35.41,No
National America Bancorp,2005,4,12.47,0.02,117.33,2.22,64.79,2.47,58.46,No
United River Financial,2005,4,11.79,1.51,120.42,3.32,81.54,3.58,54.36,No
Community River Trust,2005,4,12.33,0.0,113.21,1.76,51.25,2.42,30.19,No
Regional Coast Financial,2005,4,5.92,9.46,81.07,-0.59,85.55,0.03,62.43,Yes
Regional Plains Bank,2005,4,3.46,4.33,68.4,-2.01,105.08,0.88,80.11,Yes
First America Financial,2005,4,14.28,0.82,124.19,1.99,66.67,3.44,58.79,No
Metropolitan Valley Bank,2005,4,10.11,1.82,122.81,1.86,75.85,3.14,68.33,No
First America Bancorp,2005,4,8.94,1.88,110.91,2.3,53.83,3.17,43.7,No
Metropolitan Mountain Financial,2005,4,10.53,0.55,115.35,2.54,69.75,3.31,66.65,No
Regional Valley Financial,2005,4,12.53,1.44,124.67,1.73,64.96,2.24,59.26,No
United Mountain Trust,2005,4,11.23,2.18,109.64,2.22,62.38,2.93,58.78,No
Central Mountain Credit,2005,4,13.58,1.98,102.32,3.5,87.46,3.36,42.47,No
Community Plains Bank,2005,4,11.77,1.46,132.64,2.13,62.16,2.76,61.21,No
Metropolitan Valley Financial,2005,4,15.2,3.53,127.57,1.87,37.58,3.15,49.98,No
Regional Mountain Credit,2005,4,6.28,7.16,56.74,-0.44,109.48,1.34,89.47,Yes
Metropolitan Plains Financial,2005,4,13.21,1.59,119.29,2.05,71.08,3.5,56.44,No
National Coast Financial,2005,4,16.15,4.21,120.8,0.08,82.37,2.73,41.99,No
Regional Mountain Credit,2005,4,11.2,1.55,126.12,1.22,59.22,3.17,56.23,No
Metropolitan State Trust,2005,4,13.28,1.21,110.22,1.75,72.4,3.74,29.53,No
Regional Coast Financial,2005,4,5.56,3.0,53.48,-0.03,108.17,1.22,89.21,Yes
Regional River Bank,2005,4,11.04,1.57,141.86,1.88,77.35,3.0,31.52,No
United Plains Bancorp,2005,4,7.91,1.42,130.56,2.39,79.14,2.51,66.16,No
First State Credit,2005,4,10.07,2.21,119.9,1.91,83.39,2.65,36.5,No
National River Trust,2005,4,6.04,5.8,103.77,-0.32,93.86,0.47,61.2,Yes
Central Mountain Financial,2005,4,9.95,2.11,134.27,2.56,72.29,2.84,52.69,No
Metropolitan Plains Financial,2005,4,10.96,3.72,118.11,1.96,47.84,2.9,58.36,No
Metropolitan Mountain Credit,2005,4,3.86,4.75,77.93,-2.48,115.87,0.73,76.11,Yes
Regional Plains Bank,2005,4,9.75,2.38,144.6,2.39,61.36,3.57,46.83,No
Regional State Credit,2005,4,14.75,2.81,90.57,1.5,79.44,3.08,39.76,No
Metropolitan America Credit,2005,4,10.73,0.09,119.12,3.11,78.05,4.1,58.82,No
National River Bancorp,2005,4,14.05,3.97,123.77,1.91,80.33,3.73,45.2,No
Central Valley Bank,2005,4,10.56,2.14,128.31,2.4,55.76,3.96,43.59,No
National Coast Credit,2005,4,11.47,1.1,146.98,2.12,61.49,3.43,57.69,No
National Coast Trust,2005,4,11.62,2.84,111.75,1.75,49.9,2.34,68.08,No
Central Coast Bancorp,2005,4,15.28,2.07,136.63,1.92,67.57,3.03,48.75,No
Central River Financial,2005,4,5.57,10.43,71.5,-0.29,115.47,1.19,70.3,Yes
Central River Bank,2005,4,9.29,2.15,118.29,2.04,69.84,4.29,36.7,No
First River Credit,2005,4,2.02,8.0,66.24,-0.68,108.76,1.64,64.93,Yes
United Plains Trust,2005,4,10.89,2.43,127.7,3.1,79.56,2.97,41.1,No
National River Trust,2005,4,10.87,1.41,126.55,2.13,56.76,2.78,58.78,No
National Coast Credit,2005,4,6.7,8.71,73.83,0.63,103.54,0.81,70.84,Yes
United Plains Trust,2005,4,12.5,0.0,118.16,1.9,56.36,2.54,58.1,No
Community Coast Credit,2005,4,12.46,2.1,123.06,2.05,82.43,3.06,35.42,No
Regional River Credit,2005,4,15.26,2.37,114.11,1.37,73.96,2.94,65.74,No
United State Financial,2005,4,5.31,4.49,78.96,-0.07,102.53,1.34,79.62,Yes
First State Credit,2006,1,12.47,3.16,126.25,1.92,83.52,1.82,70.52,No
Metropolitan Mountain Bancorp,2006,1,8.59,1.37,119.59,1.93,80.06,2.47,52.61,No
National Plains Bancorp,2006,1,10.84,2.3,119.35,2.05,64.5,2.74,52.87,No
Central Plains Bank,2006,1,13.89,1.4,111.31,2.31,69.67,3.42,40.94,No
United Coast Bank,2006,1,8.44,1.47,112.34,1.96,63.63,3.37,47.12,No
United America Bank,2006,1,12.3,2.16,121.95,1.99,75.11,2.6,63.99,No
Metropolitan Coast Financial,2006,1,11.53,0.69,121.88,1.57,76.65,4.1,42.13,No
United Plains Credit,2006,1,12.66,0.24,124.54,1.56,63.75,2.45,57.32,No
National Coast Trust,2006,1,14.01,2.02,111.36,2.79,62.5,1.92,54.58,No
United State Bank,2006,1,9.79,2.99,116.19,2.3,84.02,2.4,44.34,No
United America Bank,2006,1,5.85,11.61,63.42,-1.59,107.17,0.71,81.53,Yes
Community Coast Bank,2006,1,8.9,4.21,106.52,1.84,69.68,3.96,36.75,No
Metropolitan Coast Bank,2006,1,15.97,2.76,124.17,1.51,75.71,2.64,62.67,No
United State Trust,2006,1,10.06,1.89,114.45,1.51,77.41,3.27,62.09,No
Central Mountain Financial,2006,1,8.44,3.06,145.05,1.77,88.95,2.87,36.28,No
Metropolitan River Bank,2006,1,5.39,10.14,61.62,-1.6,108.9,1.0,85.85,Yes
Community America Financial,2006,1,12.48,2.48,115.68,2.12,60.73,3.64,43.66,No
Regional Valley Credit,2006,1,14.26,1.77,122.02,1.75,59.84,2.13,39.45,No
Central State Financial,2006,1,5.35,7.64,80.1,-1.45,86.77,0.28,84.8,Yes
Central Mountain Bank,2006,1,14.77,3.27,127.1,2.32,86.98,3.17,56.46,No
First Plains Bank,2006,1,11.36,0.64,113.16,2.0,70.61,3.96,50.81,No
Regional America Credit,2006,1,8.36,5.69,66.88,-2.33,88.87,1.26,80.08,Yes
Regional Plains Bank,2006,1,13.89,2.18,116.48,3.07,69.06,3.58,45.99,No
Community Valley Credit,2006,1,13.42,2.93,122.08,0.82,70.18,3.62,55.27,No
Community State Bancorp,2006,1,12.89,0.28,112.8,2.21,74.1,3.61,48.55,No
Regional Mountain Credit,2006,1,12.81,2.02,110.13,0.87,74.31,3.09,43.82,No
Central America Bank,2006,1,8.76,2.63,117.34,2.28,88.64,1.93,43.0,No
United River Financial,2006,1,11.58,3.45,103.64,2.97,71.36,2.95,48.02,No
Metropolitan America Credit,2006,1,11.13,3.05,109.31,2.17,66.16,2.62,75.86,No
Regional State Financial,2006,1,12.84,2.61,131.38,1.29,87.52,1.75,42.31,No
Metropolitan River Trust,2006,1,11.08,2.58,122.19,1.92,69.88,2.51,35.03,No
Community America Financial,2006,1,7.45,9.08,85.84,-1.79,110.39,0.86,91.9,Yes
Central Plains Financial,2006,1,14.04,2.21,116.6,2.48,76.47,2.66,36.72,No
First Coast Bank,2006,1,11.42,3.52,131.46,1.44,58.32,3.64,38.64,No
National River Financial,2006,1,13.02,1.38,136.17,1.61,81.43,3.09,52.52,No
Community Plains Credit,2006,1,2.06,0.39,67.79,-0.75,83.12,0.46,85.61,Yes
Metropolitan America Trust,2006,1,13.13,1.86,127.8,1.41,66.44,3.82,50.68,No
Metropolitan Mountain Bancorp,2006,1,12.25,4.31,106.01,2.4,86.64,2.84,58.6,No
United River Bancorp,2006,1,4.04,4.94,73.85,-0.2,116.81,1.78,79.33,Yes
Regional Plains Trust,2006,1,14.39,1.66,129.02,2.1,74.46,3.21,33.95,No
First Mountain Bank,2006,1,9.75,2.1,103.13,2.42,78.72,3.16,38.79,No
United Coast Bancorp,2006,1,8.76,13.11,71.47,-0.49,103.03,1.27,78.8,Yes
Community Plains Trust,2006,1,11.93,2.91,143.46,1.3,68.96,2.41,65.92,No
Regional State Financial,2006,1,4.82,2.67,76.38,0.74,109.95,1.1,84.09,Yes
Metropolitan America Credit,2006,1,14.83,1.13,118.88,1.77,58.32,2.84,61.08,No
Regional River Bancorp,2006,1,13.13,2.64,121.46,2.26,61.99,2.85,51.92,No
First Plains Trust,2006,1,12.56,2.32,118.62,1.81,101.58,3.45,54.13,No
Metropolitan River Credit,2006,1,11.53,1.55,118.69,2.15,51.2,2.22,43.63,No
Community Coast Bank,2006,1,12.41,1.76,134.78,1.26,62.49,3.76,51.31,No
National Mountain Bancorp,2006,1,13.77,4.05,113.06,1.95,67.28,2.02,46.9,No
Regional America Credit,2006,2,13.76,2.54,126.19,1.81,63.44,3.63,45.03,No
Community Coast Credit,2006,2,6.59,7.49,84.62,-0.03,80.57,0.41,85.79,Yes
Central America Credit,2006,2,11.87,1.54,130.16,2.09,70.52,3.39,46.25,No
National Valley Bank,2006,2,15.14,1.21,126.57,2.72,56.23,2.83,61.42,No
First Mountain Trust,2006,2,14.31,1.83,112.65,2.48,81.84,2.42,37.96,No
United America Bank,2006,2,12.45,2.63,117.01,2.34,62.9,1.94,45.76,No
Regional Coast Trust,2006,2,12.13,1.72,108.41,1.09,64.86,3.45,62.56,No
Metropolitan America Bancorp,2006,2,14.38,1.18,108.46,2.25,76.35,3.2,29.86,No
Central State Trust,2006,2,10.27,1.97,124.87,2.38,71.44,3.17,50.85,No
National River Bank,2006,2,13.37,2.31,120.66,1.87,70.81,3.24,52.67,No
National Coast Financial,2006,2,12.76,3.34,122.65,1.68,78.84,2.32,39.19,No
Central Coast Credit,2006,2,6.67,8.55,57.55,-1.38,90.91,0.76,89.44,Yes
National State Financial,2006,2,13.41,1.98,114.54,1.33,84.2,3.3,42.93,No
Central Coast Trust,2006,2,7.44,6.79,67.13,-0.56,88.88,0.83,81.21,Yes
Central America Bancorp,2006,2,11.0,2.67,138.69,1.62,53.35,2.0,48.5,No
Community America Credit,2006,2,10.67,2.21,121.33,1.2,51.85,3.15,51.35,No
Regional State Credit,2006,2,11.15,0.34,124.71,2.64,72.78,2.58,50.45,No
First Valley Financial,2006,2,3.27,10.17,70.82,-2.77,95.49,1.23,76.67,Yes
United Plains Financial,2006,2,11.45,0.78,125.67,1.68,48.44,2.81,59.81,No
Metropolitan State Trust,2006,2,11.23,3.74,124.29,2.17,68.72,2.97,47.37,No
United Plains Bancorp,2006,2,11.4,2.53,110.64,1.46,58.77,4.02,55.3,No
First Coast Trust,2006,2,6.61,3.83,76.23,-1.12,103.21,0.51,81.6,Yes
United Plains Bancorp,2006,2,11.15,1.23,127.34,1.23,75.65,3.34,41.2,No
Metropolitan Mountain Bancorp,2006,2,10.36,1.78,122.82,1.92,74.34,3.88,44.92,No
Central State Bank,2006,2,2.57,9.48,86.83,-0.61,83.68,0.94,68.81,Yes
Metropolitan Plains Bancorp,2006,2,7.29,2.95,67.0,-2.0,101.9,0.82,81.77,Yes
Metropolitan America Bank,2006,2,12.04,1.01,126.27,1.98,60.11,4.12,54.76,No
United Plains Financial,2006,2,11.69,3.42,138.42,1.93,73.47,2.51,48.53,No
National Valley Financial,2006,2,11.6,2.18,123.33,2.28,72.38,2.39,40.62,No
Community Valley Credit,2006,2,10.91,1.72,130.51,1.42,66.43,3.48,47.0,No
First State Credit,2006,2,12.92,1.86,122.57,1.89,76.67,2.23,46.37,No
Central Plains Trust,2006,2,12.59,2.53,134.93,1.8,84.79,2.67,63.29,No
First Mountain Bank,2006,2,13.63,1.09,123.07,1.97,76.26,2.89,46.93,No
First Valley Trust,2006,2,14.74,1.9,128.26,1.89,86.67,2.66,43.86,No
United Valley Bank,2006,2,15.05,1.56,136.01,2.45,68.45,2.09,49.81,No
United Coast Bancorp,2006,2,12.2,3.17,135.88,1.66,78.01,3.38,60.73,No
